label,policy,pattern,total_pages,frame_budget,alpha,max_dirty_skips,write_ratio,durable_writes,seed,read_accesses,write_accesses,faults_total,faults_pagein,faults_write_protect,faults_reference,evictions,pagein_reads,writeback_writes,dirty_spares,scan_exhausted,io_read_us_total,io_write_us_total,ewma_read_us,ewma_write_us,r_hat,est_io_us,wall_clock_us,checksum
a0.00-w0.20-s1,clock,zipf,1024,64,0.000,0,0.200,false,1,12018,2982,10393,7917,24,2452,7853,7917,43,0,0,4711488.60,15669.60,444.13,330.06,0.74,3530383.36,6571341.50,909308
a0.50-w0.20-s1,prob,zipf,1024,64,0.500,0,0.200,false,1,12018,2982,10382,7881,13,2488,7817,7881,24,23,0,4350257.50,11522.50,329.50,353.97,1.07,2605284.14,6121083.00,909308
a1.00-w0.20-s1,prob,zipf,1024,64,1.000,0,0.200,false,1,12018,2982,10368,7859,1,2508,7795,7859,3,42,0,3358774.90,2622.50,402.29,452.78,1.13,3162928.07,4913696.30,909308
k1-w0.20-s1,bounded,zipf,1024,64,0.000,1,0.200,false,1,12018,2982,10362,7865,3,2494,7801,7865,6,42,0,6270582.20,2037.90,574.36,300.46,0.52,4519162.16,8478754.70,909308
k2-w0.20-s1,bounded,zipf,1024,64,0.000,2,0.200,false,1,12018,2982,10368,7859,1,2508,7795,7859,3,42,0,3597655.00,1201.50,701.39,407.61,0.58,5513415.46,5223633.10,909308
k4-w0.20-s1,bounded,zipf,1024,64,0.000,4,0.200,false,1,12018,2982,10368,7859,1,2508,7795,7859,3,42,0,3822257.40,1067.80,576.66,343.40,0.60,4533014.80,5417439.80,909308
a0.00-w0.40-s1,clock,zipf,1024,64,0.000,0,0.400,false,1,9050,5950,10907,7917,13,2977,7853,7917,572,0,0,3611992.40,217051.20,461.22,284.19,0.62,3814070.72,5432061.20,823717
a0.50-w0.40-s1,prob,zipf,1024,64,0.500,0,0.400,false,1,9050,5950,10814,7746,9,3059,7682,7746,381,365,0,3431399.40,155296.90,551.82,317.65,0.58,4395402.04,5185910.50,823717
a1.00-w0.40-s1,prob,zipf,1024,64,1.000,0,0.400,false,1,9050,5950,10592,7408,0,3184,7344,7408,12,1168,0,5565817.90,10694.30,569.78,785.16,1.38,4230333.88,7397390.60,823717
k1-w0.40-s1,bounded,zipf,1024,64,0.000,1,0.400,false,1,9050,5950,10715,7628,8,3079,7564,7628,260,624,0,3627660.30,111209.30,384.69,463.45,1.20,3054890.70,5399426.60,823717
k2-w0.40-s1,bounded,zipf,1024,64,0.000,2,0.400,false,1,9050,5950,10627,7515,4,3108,7451,7515,129,911,0,3288293.90,64322.10,411.43,461.98,1.12,3151511.30,4936345.40,823717
k4-w0.40-s1,bounded,zipf,1024,64,0.000,4,0.400,false,1,9050,5950,10610,7423,2,3185,7359,7423,36,1079,0,5200484.80,19617.90,693.09,796.95,1.15,5173518.48,7241171.60,823717
a0.00-w0.80-s1,clock,zipf,1024,64,0.000,0,0.800,false,1,3002,11998,15305,7917,0,7388,7853,7917,5010,0,0,6318783.70,2422461.60,974.25,1073.98,1.10,13093744.51,11279316.20,367951
a0.50-w0.80-s1,prob,zipf,1024,64,0.500,0,0.800,false,1,3002,11998,15642,7749,0,7893,7685,7749,4823,4631,0,10843659.90,3512269.20,1053.28,527.08,0.50,10703933.69,17977953.00,367951
a1.00-w0.80-s1,prob,zipf,1024,64,1.000,0,0.800,false,1,3002,11998,18564,7405,0,11159,7341,7405,4406,809990,4343,7872944.00,2270792.70,702.70,490.73,0.70,7365654.77,14269969.90,367951
k1-w0.80-s1,bounded,zipf,1024,64,0.000,1,0.800,false,1,3002,11998,15553,7558,0,7995,7494,7558,4630,5618,0,9596361.70,2768386.00,1097.64,406.38,0.37,10177480.44,16012871.30,367951
k2-w0.80-s1,bounded,zipf,1024,64,0.000,2,0.800,false,1,3002,11998,15784,7393,0,8391,7329,7393,4454,11148,0,8004528.60,2203724.60,947.76,696.66,0.74,10109708.27,13123935.60,367951
k4-w0.80-s1,bounded,zipf,1024,64,0.000,4,0.800,false,1,3002,11998,16118,7218,0,8900,7154,7218,4257,22222,0,11264210.30,2647125.50,1185.21,1095.75,0.92,13219447.47,17061325.10,367951
